,,,鴨宮,国府津,209935 ,25712 ,9726 ,8317 ,6192 ,2648 ,2648 ,3348 ,12144 ,26236 ,25536 ,22888 ,9420 ,12768 ,9344 ,10120 ,11444 ,8096 ,3348 ,0 
,,,国府津,二宮,263335 ,39180 ,16498 ,13065 ,6892 ,3972 ,2648 ,3348 ,12144 ,26236 ,26236 ,29660 ,15492 ,14792 ,13392 ,14168 ,10120 ,12144 ,3348 ,0 
,,,二宮,大磯,267383 ,39180 ,16498 ,15089 ,8916 ,3972 ,1324 ,2648 ,14168 ,26236 ,26236 ,27636 ,15492 ,16816 ,12068 ,13468 ,12144 ,12144 ,3348 ,0 
,,,大磯,平塚,267383 ,35132 ,17512 ,18123 ,7592 ,3972 ,2648 ,2648 ,14168 ,24212 ,28260 ,27636 ,15492 ,14792 ,14092 ,13468 ,10120 ,14168 ,3348 ,0 
,,,平塚,茅ヶ崎,318059 ,33108 ,22260 ,18123 ,15688 ,4672 ,6696 ,6696 ,16192 ,30284 ,30284 ,30984 ,19540 ,19540 ,14792 ,15492 ,14168 ,14168 ,5372 ,0 
,,,茅ヶ崎,辻堂,318059 ,31084 ,19226 ,20660 ,15269 ,6288 ,8020 ,5372 ,15492 ,30984 ,31608 ,30984 ,17516 ,21564 ,13468 ,16816 ,14168 ,14168 ,5372 ,0 
,,,辻堂,藤沢,318059 ,27036 ,21250 ,20660 ,15269 ,8312 ,6696 ,6696 ,15492 ,30984 ,29584 ,33008 ,17516 ,19540 ,15492 ,14792 ,16192 ,14168 ,5372 ,0 
,,,藤沢,大船,322107 ,22384 ,21854 ,24284 ,19741 ,6988 ,5996 ,8720 ,13468 ,33008 ,27560 ,33008 ,17516 ,21564 ,15492 ,14792 ,14168 ,14168 ,7396 ,0 
,,,大船,戸塚,316344 ,20864 ,17108 ,22264 ,20240 ,9012 ,5996 ,5372 ,14792 ,31684 ,28884 ,33008 ,17516 ,19540 ,16192 ,16116 ,16192 ,14168 ,7396 ,0 
,,,戸塚,横浜,316344 ,16816 ,17108 ,22264 ,18216 ,13060 ,5996 ,7396 ,12768 ,31684 ,29584 ,32308 ,17516 ,19540 ,18216 ,14092 ,16192 ,14168 ,9420 ,0 
,,,横浜,川崎,247528 ,10744 ,11036 ,16192 ,18216 ,16192 ,6288 ,4672 ,10044 ,23588 ,21488 ,22188 ,16192 ,10744 ,14168 ,10044 ,12144 ,14168 ,7396 ,2024 
,,,川崎,品川,247528 ,7396 ,9420 ,15084 ,18216 ,18216 ,9012 ,3972 ,10044 ,23588 ,21488 ,22188 ,16192 ,12768 ,14168 ,8020 ,12144 ,14168 ,9420 ,2024 
,,,品川,新橋,242156 ,7396 ,5372 ,13060 ,20240 ,18216 ,13060 ,3972 ,10044 ,23588 ,21488 ,22188 ,14168 ,13468 ,13468 ,10044 ,12144 ,12144 ,8096 ,0 
,,,新橋,東京,242156 ,6072 ,4672 ,13060 ,16192 ,18216 ,17108 ,4672 ,9344 ,24288 ,20788 ,22888 ,13468 ,15492 ,11444 ,10744 ,11444 ,12144 ,10120 ,0 
,,,,,0 ,,,,,,,,,,,,,,,,,,,
,中央本線,下り,東京,神田,454779 ,25160 ,10360 ,13320 ,20720 ,20720 ,19240 ,14800 ,20720 ,41440 ,41440 ,42920 ,29600 ,27876 ,25718 ,25718 ,23316 ,19953 ,22878 ,8880 
,,,神田,御茶ノ水,454779 ,23680 ,10360 ,13320 ,20720 ,20720 ,20720 ,13320 ,22200 ,41440 ,41440 ,41440 ,31080 ,27876 ,25718 ,25718 ,21836 ,21433 ,22878 ,8880 
,,,御茶ノ水,水道橋,454779 ,23680 ,8880 ,13320 ,20720 ,20720 ,20720 ,13320 ,22200 ,41440 ,41440 ,41440 ,31080 ,27876 ,25718 ,25718 ,23316 ,19953 ,22878 ,10360 
,,,水道橋,飯田橋,454779 ,23680 ,8880 ,13320 ,19240 ,20720 ,22200 ,13320 ,20720 ,41440 ,41440 ,42920 ,29600 ,29356 ,25718 ,25718 ,23316 ,19953 ,22878 ,10360 
,,,飯田橋,市ヶ谷,454779 ,22200 ,10360 ,13320 ,19240 ,20720 ,20720 ,13320 ,22200 ,41440 ,41440 ,42920 ,29600 ,29356 ,25718 ,25718 ,23316 ,19953 ,22878 ,10360 
,,,市ヶ谷,四ッ谷,454779 ,22200 ,8880 ,13320 ,19240 ,20720 ,20720 ,14800 ,22200 ,39960 ,42920 ,41440 ,29600 ,29356 ,25718 ,25718 ,23316 ,19953 ,24358 ,10360 
,,,四ッ谷,信濃町,454779 ,22200 ,8880 ,11840 ,19240 ,20720 ,22200 ,14800 ,22200 ,39960 ,42920 ,41440 ,29600 ,29356 ,25718 ,25718 ,23316 ,19953 ,22878 ,11840 
,,,信濃町,千駄ヶ谷,454779 ,22200 ,7400 ,13320 ,19240 ,20720 ,20720 ,14800 ,22200 ,41440 ,41440 ,41440 ,29600 ,29356 ,25718 ,25718 ,23316 ,21433 ,21398 ,13320 
,,,千駄ヶ谷,代々木,454779 ,22200 ,7400 ,13320 ,17760 ,20720 ,20720 ,16280 ,22200 ,41440 ,41440 ,41440 ,29600 ,29356 ,25718 ,25718 ,23316 ,21433 ,21398 ,13320 
,,,代々木,新宿,454779 ,22200 ,7400 ,13320 ,17760 ,20720 ,20720 ,16280 ,22200 ,41440 ,41440 ,41440 ,29600 ,29356 ,25718 ,25718 ,23316 ,21433 ,21398 ,13320 
,,,新宿,大久保,457739 ,20720 ,7400 ,11840 ,19240 ,20720 ,20720 ,16280 ,22200 ,41440 ,41440 ,41440 ,29600 ,29356 ,25718 ,25718 ,23316 ,21433 ,24358 ,14800 
,,,大久保,東中野,457739 ,20720 ,7400 ,11840 ,17760 ,20720 ,20720 ,17760 ,22200 ,41440 ,41440 ,41440 ,29600 ,29356 ,25718 ,25718 ,23316 ,21433 ,24358 ,14800 
,,,東中野,中野,457739 ,20720 ,7400 ,11840 ,16280 ,20720 ,20720 ,17760 ,22200 ,41440 ,41440 ,41440 ,29600 ,30836 ,25718 ,25718 ,23316 ,21433 ,22878 ,16280 
,,,中野,高円寺,459219 ,23680 ,7400 ,11840 ,16280 ,20720 ,20720 ,17760 ,23680 ,41440 ,41440 ,39960 ,29600 ,29356 ,25718 ,27198 ,21836 ,21433 ,21398 ,17760 
